ts,pm10,pm2.5,Co,Ozono,No,NO2,Nox,VelViento,DirViento,Temperatura,HR,Precipitacion,PresionBaro
01-01-2021 01:00,26,26,0.55981,3.107,4.745,18.793,23.527,0.4,2,12.1,80,0,564
01-01-2021 02:00,,52,0.55195,2.217,6.609,19.059,25.667,0.9,2,12.4,78,0,564
01-01-2021 03:00,,41,0.4056,4.941,3.88,13.645,17.51,1.6,44,12.3,76,0,563
01-01-2021 04:00,35.3,26,0.45736,2.776,7.016,14.442,21.482,0.7,276,11.9,78,0,563
01-01-2021 05:00,31.1,31,0.45063,3.095,6.514,15.413,21.927,0.6,19,11.9,77,0,564
01-01-2021 06:00,27,27,0.17385,16.072,1.059,5.224,6.272,2.7,81,11.9,71,0,564
01-01-2021 07:00,18.5,2,0.15965,17.827,1.037,3.978,5.017,1.4,96,12.3,69,0,564
01-01-2021 08:00,14.1,9,0.18808,19.126,2.658,4.383,7.034,1.9,98,13.3,64,0,565
01-01-2021 09:00,10.9,6,0.12683,24.968,1.609,1.858,3.469,1.4,127,16.8,50,0,565
01-01-2021 10:00,8.7,3,0.12505,25.339,1.526,1.446,2.971,5.1,86,17.1,48,0,565
01-01-2021 11:00,6.2,2,0.09552,25.567,0.748,1.153,1.897,1.9,124,19.5,40,0,565
01-01-2021 12:00,5.3,5,0.08795,25.688,1.139,1.315,2.451,3.1,103,19.1,42,0,564
01-01-2021 13:00,6,6,0.08348,24.407,1.023,1.339,2.372,2.9,135,18.7,43,0,564
01-01-2021 14:00,4.1,4,0.07082,24.37,1.233,1.528,2.754,3,109,17.6,46,0,564
01-01-2021 15:00,11,6,0.07645,23.72,1.716,1.885,3.574,3.5,79,16.7,48,0,563
01-01-2021 16:00,9.6,5,0.07117,23.508,1.641,1.619,3.264,5,79,16.8,48,0,563
01-01-2021 17:00,8.1,6,0.09634,22.631,2.589,2.305,4.894,4.4,83,17.5,44,0,563
01-01-2021 18:00,,8,0.14778,20.249,2.146,4.416,6.557,3.2,76,15.8,49,0,563
01-01-2021 19:00,,7,0.21115,16.647,2.821,6.272,9.074,3.8,80,14.3,56,0,563
01-01-2021 20:00,,6,0.2922,9.93,2.878,11.682,14.567,0.6,76,13.6,58,0,564
01-01-2021 21:00,,15,0.25543,12.476,2.82,8.264,11.096,1.9,90,12.7,63,0,564
01-01-2021 22:00,,13,0.25231,11.693,1.534,8.784,10.316,1.1,72,12.4,65,0,565
01-01-2021 23:00,,9,0.21989,11.815,1.558,8.569,10.128,1,45,12.7,64,0,565
2-01-2021 00:00,,10,0.19636,13.502,0.748,6.289,7.034,1,44,12.8,65,0,565
02-01-2021 01:00,,6,0.18264,14.107,0.696,5.552,6.25,2.1,32,12.7,68,0,564
02-01-2021 02:00,,6,0.18227,13.062,0.521,5.221,5.739,1.9,49,12.2,70,0,564
02-01-2021 03:00,,9,0.16676,13.086,0.645,4.706,5.352,1.5,40,11.8,72,0,563
02-01-2021 04:00,,7,0.19896,8.711,1.09,8.177,9.268,0.9,338,11.6,74,0,563
02-01-2021 05:00,,7,0.32769,5.641,12.112,12.089,24.23,0.8,3,11.4,75,0,564
02-01-2021 06:00,,11,0.37633,2.722,13.354,14.485,27.888,0.5,304,10.5,78,0,564
02-01-2021 07:00,,9,0.7221,2.407,43.403,17.257,60.637,0.6,349,11.1,75,0,564
02-01-2021 08:00,,19,0.57499,5.388,27.914,15.061,42.977,1.1,53,12.8,69,0,565
02-01-2021 09:00,,14,0.24131,15.526,6.138,4.968,11.102,2.6,91,15.1,59,0,565
02-01-2021 10:00,14.9,9,0.18314,18.13,2.662,2.01,4.673,2.6,125,16.4,55,0,565
